canonical_smiles,target,exists_on_pubchem,exists_on_chembl,EC50_uM,IC50_uM,Ki_uM,Kd_uM,AC50_uM
CCC1CCN(C)c2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21,AR,True,False,0.158,10.0,0.63,,
CCC1CCCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21,AR,True,False,,,,,
O,AR,True,True,,,,,
C,AR,True,True,,,,,
O=c1cc(C(F)(F)F)c2cc3c(cc2[nH]1)OCCN3,AR,True,True,10.0,0.296,1.0,,
CC,AR,True,True,,,,,
CCCN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(C)c2c1,AR,True,False,,,,,
Cc1c(N2C(=O)[C@@H]3[C@H](O)CCN3S2(=O)=O)ccc(C#N)c1Cl,AR,False,True,,,0.00045,,
Cc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1,AR,True,False,,,,,
N#Cc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1,AR,True,False,,,,,
C[C@](O)(CN1CCc2cc(Br)ccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,AR,False,True,,0.531,0.198,,
CCc1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,AR,True,False,,,,,
N,AR,True,True,,,,,
CCCNc1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,AR,True,False,2.022,0.0275,0.054,,
CC(C)c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,AR,True,False,,,,,
CCN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(C)c2c1,AR,True,False,,,,,
CCC,AR,True,True,,,,,
CCOC=O,AR,True,True,,,,,
CN,AR,True,True,,,,,
